#:x f g h
0.01 0.01 0.0001 1.0000000000000002e-06
0.02 0.02 0.0004 8.000000000000001e-06
0.03 0.03 0.0009 2.6999999999999996e-05
0.04 0.04 0.0016 6.400000000000001e-05
0.05 0.05 0.0025000000000000005 0.00012500000000000003
0.06 0.06 0.0036 0.00021599999999999996
0.07 0.07 0.004900000000000001 0.0003430000000000001
0.08 0.08 0.0064 0.0005120000000000001
0.09 0.09 0.0081 0.0007289999999999999
0.1 0.1 0.010000000000000002 0.0010000000000000002
0.11 0.11 0.0121 0.001331
0.12 0.12 0.0144 0.0017279999999999997
0.13 0.13 0.016900000000000002 0.002197
0.14 0.14 0.019600000000000003 0.0027440000000000008
0.15 0.15 0.0225 0.0033749999999999995
0.16 0.16 0.0256 0.004096000000000001
0.17 0.17 0.028900000000000006 0.004913000000000001
0.18 0.18 0.0324 0.0058319999999999995
0.19 0.19 0.0361 0.0068590000000000005
0.2 0.2 0.04000000000000001 0.008000000000000002
0.21 0.21 0.04409999999999999 0.009260999999999998
0.22 0.22 0.0484 0.010648
0.23 0.23 0.0529 0.012167
0.24 0.24 0.0576 0.013823999999999998
0.25 0.25 0.0625 0.015625
0.26 0.26 0.06760000000000001 0.017576
0.27 0.27 0.0729 0.019683000000000003
0.28 0.28 0.07840000000000001 0.021952000000000006
0.29 0.29 0.0841 0.024388999999999994
0.3 0.3 0.09 0.026999999999999996
0.31 0.31 0.0961 0.029790999999999998
0.32 0.32 0.1024 0.032768000000000005
0.33 0.33 0.10890000000000001 0.035937000000000004
0.34 0.34 0.11560000000000002 0.039304000000000006
0.35 0.35 0.12249999999999998 0.04287499999999999
0.36 0.36 0.1296 0.046655999999999996
0.37 0.37 0.1369 0.050653
0.38 0.38 0.1444 0.054872000000000004
0.39 0.39 0.1521 0.059319000000000004
0.4 0.4 0.16000000000000003 0.06400000000000002
0.41 0.41 0.16809999999999997 0.06892099999999998
0.42 0.42 0.17639999999999997 0.07408799999999999
0.43 0.43 0.18489999999999998 0.079507
0.44 0.44 0.1936 0.085184
0.45 0.45 0.2025 0.09112500000000001
0.46 0.46 0.2116 0.097336
0.47 0.47 0.22089999999999999 0.10382299999999998
0.48 0.48 0.2304 0.11059199999999998
0.49 0.49 0.24009999999999998 0.11764899999999999
0.5 0.5 0.25 0.125
0.51 0.51 0.2601 0.13265100000000002
0.52 0.52 0.27040000000000003 0.140608
0.53 0.53 0.28090000000000004 0.148877
0.54 0.54 0.2916 0.15746400000000002
0.55 0.55 0.30250000000000005 0.16637500000000005
0.56 0.56 0.31360000000000005 0.17561600000000005
0.57 0.57 0.32489999999999997 0.18519299999999994
0.58 0.58 0.3364 0.19511199999999995
0.59 0.59 0.34809999999999997 0.20537899999999998
0.6 0.6 0.36 0.21599999999999997
0.61 0.61 0.3721 0.226981
0.62 0.62 0.3844 0.23832799999999998
0.63 0.63 0.39690000000000003 0.250047
0.64 0.64 0.4096 0.26214400000000004
